open,high,low,close,volume,marketCap,timestamp
2922.990187335,3018.4154702808,2804.50710377,3009.3935456503,22332690613.58,362714896494.35,"2022-04-25T00:00:00.000Z"
3008.9463427501,3026.4150399661,2786.2530587267,2808.2983318587,19052045398.52,338514769949.36,"2022-04-26T00:00:00.000Z"
2808.6460885138,2911.877469807,2802.273550762,2888.929764995,17419284040.6,348272874148.14,"2022-04-27T00:00:00.000Z"
2888.8497890382,2973.1349401292,2861.8214636962,2936.9410161491,18443524633.39,354099998306.72,"2022-04-28T00:00:00.000Z"
2936.7765387601,2943.4457089527,2782.4353869372,2815.6018973624,18771041399.05,339508249528.82,"2022-04-29T00:00:00.000Z"
2815.5334199495,2836.8275468671,2727.4063382467,2730.1868219832,13520941867.26,329245687214.6,"2022-04-30T00:00:00.000Z"
2729.9941987023,2838.7042537175,2728.0789595499,2827.7561442638,15332730152.03,341049885442.05,"2022-05-01T00:00:00.000Z"
2827.6139964462,2874.1460923186,2785.5229881267,2857.4105184866,18609741544.8,344664213658.6,"2022-05-02T00:00:00.000Z"
2857.1522977458,2859.1934021125,2762.1185523926,2783.4762086632,13026093218.72,335783385599.7,"2022-05-03T00:00:00.000Z"
2783.1312098218,2956.6868876721,2779.2736228456,2940.6448266526,18186749944.01,354781969604.05,"2022-05-04T00:00:00.000Z"
2940.2266468171,2948.9605777143,2704.9161748719,2749.2130422077,22642925047.88,331722438859.99,"2022-05-05T00:00:00.000Z"
2748.9315768049,2754.8376841671,2645.3352248003,2694.9796840564,21027599269.63,325214199379.47,"2022-05-06T00:00:00.000Z"
2694.9918455628,2696.6527987299,2599.5233871032,2636.0929579647,13369276366.72,318142976736.13,"2022-05-07T00:00:00.000Z"
2636.1217826916,2638.8305082624,2498.4300585393,2517.4599862673,20802269935.31,303859041426.84,"2022-05-08T00:00:00.000Z"
2518.5083805289,2528.2581724029,2238.0626571136,2245.4305316346,36333567677.85,271054331836.52,"2022-05-09T00:00:00.000Z"
2242.6503446904,2450.7602363735,2206.7569380667,2343.5108884929,38202099639.11,282924938115.3,"2022-05-10T00:00:00.000Z"
2342.7542519692,2441.0794627112,2018.8556131842,2072.1086793073,45743399153.68,250186937448.08,"2022-05-11T00:00:00.000Z"
2072.5045784196,2170.4579698622,1748.3030634491,1961.7015828311,42463486401.75,236882074239.28,"2022-05-12T00:00:00.000Z"
1960.1225470264,2139.7133146957,1941.9759312277,2014.4182339085,24816096567.28,243274721466.96,"2022-05-13T00:00:00.000Z"
2014.2806657431,2063.4299304076,1956.5729482857,2056.2739146574,15457044615.79,248356265277.91,"2022-05-14T00:00:00.000Z"
2056.1832217105,2147.1944275951,2008.1627423064,2145.7066657035,14846088334.59,259186464086.69,"2022-05-15T00:00:00.000Z"
2145.8368067731,2145.8368067731,1988.811730833,2022.7259340438,21459552190.69,244357879748.28,"2022-05-16T00:00:00.000Z"
2022.8823537739,2113.0598992727,2015.9715226431,2090.4092459523,18509929297.43,252562157297.15,"2022-05-17T00:00:00.000Z"
2090.4598855536,2102.3266553189,1916.6561061743,1916.6561061743,17740965588.8,231594842725.92,"2022-05-18T00:00:00.000Z"
